"Species","Name_FR","Name_EN","Level","Region","Status_evolution","Years_apart","Last_status","Last_evaluation","1990","1994","1996","1998","2000","2002","2003","2004","2005","2006","2007","2008","2010","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Before_last_evaluation","Before_last_status"
"Apristurus aphyodes","Holbiche blanche (spectre)","White ghost catshark","International","World","DD-LC",10,"LC",2014,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,2004,"DD"
"Apristurus aphyodes","Holbiche blanche (spectre)","White ghost catshark","Regional","NE Atlantic","DD-LC",9,"LC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,2006,"DD"
"Apristurus melanoasper","Holbiche noire","Black roughscale catshark","Continental","Europe",NA,NA,"LC",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus melanoasper","Holbiche noire","Black roughscale catshark","International","World","DD-LC",8,"LC",2015,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,"DD",NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,2007,"DD"
"Apristurus melanoasper","Holbiche noire","Black roughscale catshark","National","France",NA,NA,"DD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apristurus melanoasper","Holbiche noire","Black roughscale catshark","Regional","NE Atlantic","DD-LC",9,"LC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,2006,"DD"
"Bathyraja pallida","Raie pâle","Pale ray","Continental","Europe",NA,NA,"LC",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathyraja pallida","Raie pâle","Pale ray","International","World","LC-LC",12,"LC",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,2007,"LC"
"Bathyraja pallida","Raie pâle","Pale ray","National","France",NA,NA,"DD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathyraja pallida","Raie pâle","Pale ray","National","Ireland",NA,NA,"LC",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA
"Bathyraja pallida","Raie pâle","Pale ray","Regional","NE Atlantic","LC-LC",9,"LC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,2006,"LC"
"Bathyraja richardsoni","Raie de Richardson","Richardson's ray","Continental","Europe",NA,NA,"LC",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathyraja richardsoni","Raie de Richardson","Richardson's ray","International","World","LC-LC",8,"LC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,2007,"LC"
"Bathyraja richardsoni","Raie de Richardson","Richardson's ray","National","France",NA,NA,"DD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathyraja richardsoni","Raie de Richardson","Richardson's ray","National","Ireland",NA,NA,"LC",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA
